ID,Title,Author,Year,Format,File
1,E-Sport Olimpus,Mikat HMPS,2025,PDF,ebook/Jobdesc E-Sport Olimpus 2025.pdf
2,Bulan,Hanum Salsabiela Rais,2014,PDF,ebook/Bulan.pdf
3,Ayah,Andrea Hirata,2015,PDF,ebook/Ayah.pdf
4,Matahari,Tere Liye,2016,PDF,ebook/Matahari.pdf
5,Daun Yang Jatuh Tak Pernah Membenci Angin,Tere Liye,2018,PDF,ebook/Daun Yang Jatuh Tak Pernah Membenci Angin.pdf
6,Dunia Sophie,Jostein Gaarder,2014,PDF,ebook/Dunia Sophie.pdf
7,Tentang Kamu,Tere Liye,2016,PDF,ebook/Tentang Kamu.pdf
8,Negeri di ujung tanduk,Tere Liye,2013,PDF,ebook/Negeri di ujung tanduk.pdf
9,Bumi,Tere Liye,2014,PDF,ebook/Bumi.pdf
10,Ringkasan Materi VR,Rifdah Adilah,2025,PDF,ebook/Ringkasan Materi VR Rifdah.pdf
